                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 0.9372,                0.55014,                0.96739,                0.94201,                0.94967,                0.97218,                0.72112,                 1.0918,                0.51048,                 1.0353,             0.00093318,             0.00093318,             0.00093318
                    100,                0.97992,                0.54038,                 0.9806,                0.93624,                0.94417,                0.96956,                0.72831,                 0.9825,                0.49231,                0.99103,             0.00093135,             0.00093135,             0.00093135
                    101,                0.96032,                0.50279,                 1.0013,                0.93624,                0.94417,                0.96956,                0.72831,                 0.9825,                0.49231,                0.99103,             0.00092952,             0.00092952,             0.00092952
                    102,                0.88645,                0.49993,                0.97157,                0.91615,                0.95333,                0.96385,                0.69542,                 1.0155,                0.56322,                 1.0085,             0.00092769,             0.00092769,             0.00092769
                    103,                0.93179,                0.56087,                0.94884,                0.92824,                0.95758,                0.96021,                 0.6864,                 1.0901,                0.55162,                 1.0332,             0.00092585,             0.00092585,             0.00092585
                    104,                0.90652,                0.51326,                0.97899,                0.94116,                  0.945,                0.96527,                0.69773,                 1.0701,                0.51006,                 1.0189,             0.00092402,             0.00092402,             0.00092402
                    105,                0.89758,                0.49489,                0.99651,                0.94116,                  0.945,                0.96527,                0.69773,                 1.0701,                0.51006,                 1.0189,             0.00092219,             0.00092219,             0.00092219
                    106,                0.91255,                0.49518,                0.96148,                0.93898,                0.94312,                0.96529,                0.73212,                0.95676,                0.50557,                0.97811,             0.00092035,             0.00092035,             0.00092035
                    107,                0.94038,                0.53847,                0.98494,                 0.9219,                  0.945,                0.95747,                0.70833,                 1.0293,                0.52409,                 1.0136,             0.00091852,             0.00091852,             0.00091852
                    108,                0.90897,                  0.541,                0.99507,                0.91689,                0.94915,                0.95594,                0.65252,                 1.1932,                0.57621,                 1.1144,             0.00091669,             0.00091669,             0.00091669
                    109,                 1.0256,                0.56344,                0.99516,                0.91689,                0.94915,                0.95594,                0.65252,                 1.1932,                0.57621,                 1.1144,             0.00091485,             0.00091485,             0.00091485
                    110,                 1.0035,                0.50244,                 1.0115,                0.94181,                0.95094,                 0.9607,                 0.6614,                 1.1507,                0.55094,                 1.0748,             0.00091302,             0.00091302,             0.00091302
                    111,                 1.0102,                0.51018,                 1.0401,                0.93171,                0.92914,                0.95819,                0.68341,                 1.0657,                0.57819,                 1.0276,             0.00091119,             0.00091119,             0.00091119
                    112,                0.91602,                0.45512,                0.97495,                0.90937,                0.90619,                0.94895,                0.68062,                 1.0811,                0.62552,                 1.0363,             0.00090935,             0.00090935,             0.00090935
                    113,                0.89692,                0.45388,                 1.0036,                0.90937,                0.90619,                0.94895,                0.68062,                 1.0811,                0.62552,                 1.0363,             0.00090752,             0.00090752,             0.00090752
                    114,                0.93935,                0.53123,                0.99651,                0.94254,                0.88346,                0.96114,                0.69478,                 1.1256,                0.63541,                 1.0448,             0.00090569,             0.00090569,             0.00090569
                    115,                0.94394,                0.52653,                 0.9956,                0.89782,                0.89603,                0.96232,                0.67507,                 1.1766,                0.64138,                 1.0678,             0.00090385,             0.00090385,             0.00090385
                    116,                0.92807,                0.49124,                0.97547,                0.83918,                0.89345,                0.95538,                0.68719,                 1.0852,                0.66749,                 1.0223,             0.00090202,             0.00090202,             0.00090202
                    117,                0.93805,                0.51292,                0.97048,                0.83918,                0.89345,                0.95538,                0.68719,                 1.0852,                0.66749,                 1.0223,             0.00090019,             0.00090019,             0.00090019
                    118,                0.88811,                 0.4742,                0.95123,                0.80262,                0.91307,                0.95609,                0.71691,                 1.0083,                0.71153,                0.99007,             0.00089835,             0.00089835,             0.00089835
                    119,                0.93828,                0.48426,                0.97834,                0.75269,                0.94643,                0.96135,                 0.7176,                 1.0403,                0.79595,                 1.0046,             0.00089652,             0.00089652,             0.00089652
                    120,                0.87829,                0.46665,                 0.9617,                 0.8177,                0.91417,                0.96157,                0.72302,                 1.0468,                 0.6238,                 1.0131,             0.00089469,             0.00089469,             0.00089469
                    121,                0.91384,                0.48403,                0.99246,                 0.8177,                0.91417,                0.96157,                0.72302,                 1.0468,                 0.6238,                 1.0131,             0.00089286,             0.00089286,             0.00089286
                    122,                0.89039,                0.46164,                0.94839,                0.86344,                0.91015,                0.95322,                 0.7254,                 1.0039,                0.54353,                0.98681,             0.00089102,             0.00089102,             0.00089102
                    123,                0.91939,                0.50964,                 0.9601,                 0.8538,                 0.9465,                0.94767,                 0.7452,                0.96887,                0.58117,                0.97647,             0.00088919,             0.00088919,             0.00088919
                    124,                0.89051,                0.47597,                0.95391,                0.90912,                0.90185,                0.94882,                0.70342,                  1.029,                0.60139,                0.99311,             0.00088736,             0.00088736,             0.00088736
                    125,                 0.9675,                0.49611,                0.99107,                0.90912,                0.90185,                0.94882,                0.70342,                  1.029,                0.60139,                0.99311,             0.00088552,             0.00088552,             0.00088552
                    126,                0.93407,                0.49194,                0.98316,                0.90321,                0.92466,                0.96082,                0.71763,                  1.002,                0.53757,                0.98149,             0.00088369,             0.00088369,             0.00088369
                    127,                0.90128,                0.47562,                0.96171,                0.87285,                0.89208,                0.96357,                0.73438,                0.94111,                0.62007,                0.96939,             0.00088186,             0.00088186,             0.00088186
                    128,                0.94145,                0.54708,                 1.0212,                0.91187,                0.89195,                0.95539,                0.73455,                0.96075,                0.52945,                0.98288,             0.00088002,             0.00088002,             0.00088002
                    129,                0.92476,                0.50094,                0.98178,                0.91187,                0.89195,                0.95539,                0.73455,                0.96075,                0.52945,                0.98288,             0.00087819,             0.00087819,             0.00087819
                    130,                0.92773,                 0.4925,                0.96843,                0.94302,                0.94313,                 0.9546,                 0.7265,                  0.978,                0.47648,                0.98929,             0.00087636,             0.00087636,             0.00087636
                    131,                0.86627,                 0.4904,                0.93611,                0.95031,                  0.945,                0.96555,                0.73035,                0.98248,                0.49741,                0.99752,             0.00087452,             0.00087452,             0.00087452
                    132,                0.88445,                0.50036,                0.96788,                0.94348,                  0.937,                 0.9545,                0.71874,                 1.0094,                0.51703,                 1.0104,             0.00087269,             0.00087269,             0.00087269
                    133,                 0.8657,                0.50145,                0.95879,                0.94348,                  0.937,                 0.9545,                0.71874,                 1.0094,                0.51703,                 1.0104,             0.00087086,             0.00087086,             0.00087086
